Visit_ID,Visit_Date,University,Zip_Code,State,Student_Level,Housing,Financial_Aid,Meal_Plan,Food_Weight_lbs
V-1059,2024-08-13,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Pell Grant,None,21.31
V-1060,2024-07-17,Arizona State,85281,AZ,Undergraduate,Off-Campus,Scholarship,Partial,15.56
V-1061,2022-05-02,UMass Amherst,01003,MA,Undergraduate,On-Campus,Pell Grant,None,7.17
V-1062,2022-04-09,Michigan State,48824,MI,Undergraduate,On-Campus,None,None,14.23
V-1063,2023-01-06,Ohio State,43210,OH,Undergraduate,Off-Campus,Scholarship,Partial,12.68
V-1064,2020-12-18,UC Irvine,92697,CA,Undergraduate,Off-Campus,Scholarship,Partial,14.68
V-1065,2022-01-30,UW Seattle,98195,WA,Undergraduate,Off-Campus,Pell Grant,None,12.63
V-1066,2021-08-14,UF Gainesville,32611,FL,Graduate,Off-Campus,None,None,20.65
V-1067,2022-02-03,UC Irvine,92697,CA,Undergraduate,On-Campus,None,None,13.64
V-1068,2023-06-27,UF Gainesville,32611,FL,Graduate,On-Campus,None,Partial,17.69
V-1069,2023-08-19,Georgia Tech,30332,GA,Undergraduate,On-Campus,None,None,18.0
V-1070,2022-07-31,UF Gainesville,32611,FL,Undergraduate,On-Campus,Pell Grant,Partial,19.69
V-1071,2023-02-11,Michigan State,48824,MI,Undergraduate,Off-Campus,Pell Grant,None,20.06
V-1072,2021-04-11,UW Seattle,98195,WA,Undergraduate,Off-Campus,Scholarship,None,11.05
V-1073,2021-11-01,Rutgers,08901,NJ,Undergraduate,Off-Campus,Pell Grant,Partial,17.16
V-1074,2020-11-09,Ohio State,43210,OH,Graduate,Off-Campus,None,Partial,25.51
V-1075,2020-07-19,UF Gainesville,32611,FL,Graduate,On-Campus,None,Full,21.93
V-1076,2023-01-16,UW Seattle,98195,WA,Undergraduate,Off-Campus,None,None,17.03
V-1077,2021-10-10,Arizona State,85281,AZ,Undergraduate,On-Campus,Pell Grant,Partial,8.53
V-1078,2023-07-15,Michigan State,48824,MI,Undergraduate,Off-Campus,Pell Grant,Partial,17.31
V-1079,2021-07-30,Arizona State,85281,AZ,Undergraduate,Off-Campus,Pell Grant,Partial,12.62
V-1080,2022-06-26,Arizona State,85281,AZ,Undergraduate,Off-Campus,None,None,12.56
V-1081,2023-06-16,UW Seattle,98195,WA,Undergraduate,Off-Campus,Pell Grant,Partial,16.99
V-1082,2023-11-23,Rutgers,08901,NJ,Undergraduate,Off-Campus,Pell Grant,None,20.57
V-1083,2022-02-03,Georgia Tech,30332,GA,Undergraduate,Off-Campus,None,None,23.83
V-1084,2021-04-19,UMass Amherst,01003,MA,Graduate,Off-Campus,Pell Grant,Partial,13.28
V-1085,2022-07-07,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Scholarship,Partial,18.77
V-1086,2023-08-17,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,None,17.37
V-1087,2021-03-26,Rutgers,08901,NJ,Undergraduate,On-Campus,Pell Grant,None,17.85
V-1088,2021-09-16,UC Irvine,92697,CA,Undergraduate,Off-Campus,None,None,14.27
V-1089,2020-05-28,UF Gainesville,32611,FL,Undergraduate,On-Campus,None,None,15.71
V-1090,2021-05-09,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Scholarship,Partial,13.78
V-1091,2023-07-16,UW Seattle,98195,WA,Graduate,Off-Campus,Pell Grant,None,15.96
V-1092,2023-06-08,Rutgers,08901,NJ,Graduate,Off-Campus,None,None,23.69
V-1093,2022-01-26,Georgia Tech,30332,GA,Undergraduate,Off-Campus,None,None,9.84
V-1094,2022-06-05,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,None,17.02
V-1095,2024-01-02,UF Gainesville,32611,FL,Undergraduate,On-Campus,Scholarship,Partial,20.28
V-1096,2023-06-13,Ohio State,43210,OH,Undergraduate,Off-Campus,Scholarship,Partial,11.29
V-1097,2022-07-31,Texas A&M,77843,TX,Undergraduate,Off-Campus,Scholarship,None,14.65
V-1098,2022-03-11,Arizona State,85281,AZ,Undergraduate,On-Campus,None,Partial,17.27
V-1099,2023-05-19,UC Irvine,92697,CA,Undergraduate,Off-Campus,None,Partial,13.75
V-1100,2023-10-28,Ohio State,43210,OH,Graduate,On-Campus,Pell Grant,None,32.0
V-1101,2022-12-26,UW Seattle,98195,WA,Undergraduate,Off-Campus,Pell Grant,None,14.76
V-1102,2021-11-17,UF Gainesville,32611,FL,Undergraduate,On-Campus,Pell Grant,Partial,9.65
V-1103,2020-08-30,Arizona State,85281,AZ,Graduate,Off-Campus,None,None,22.44
V-1104,2023-06-02,UW Seattle,98195,WA,Undergraduate,On-Campus,Pell Grant,None,14.24
V-1105,2024-07-29,Arizona State,85281,AZ,Undergraduate,On-Campus,Pell Grant,Full,18.62
V-1106,2024-07-20,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,None,13.83
V-1107,2022-08-22,Arizona State,85281,AZ,Undergraduate,On-Campus,Scholarship,Full,17.22
V-1108,2024-01-04,Ohio State,43210,OH,Undergraduate,On-Campus,Scholarship,None,11.5
V-1109,2023-03-05,UC Irvine,92697,CA,Undergraduate,Off-Campus,Scholarship,Full,12.49
V-1110,2024-05-18,Texas A&M,77843,TX,Undergraduate,Off-Campus,Scholarship,None,18.02
V-1111,2021-04-29,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Scholarship,None,20.11
V-1112,2023-05-03,Michigan State,48824,MI,Undergraduate,Off-Campus,Scholarship,Partial,18.9
V-1113,2023-09-01,UMass Amherst,01003,MA,Graduate,Off-Campus,None,Partial,21.14
V-1114,2023-07-21,UF Gainesville,32611,FL,Undergraduate,On-Campus,Pell Grant,None,11.01
V-1115,2022-04-21,UMass Amherst,01003,MA,Graduate,Off-Campus,Pell Grant,Partial,25.37
V-1116,2023-11-13,UC Irvine,92697,CA,Undergraduate,Off-Campus,Pell Grant,Partial,16.31
V-1117,2024-04-06,Ohio State,43210,OH,Undergraduate,On-Campus,Pell Grant,None,16.44
V-1118,2023-01-16,Ohio State,43210,OH,Undergraduate,Off-Campus,None,None,20.18
V-1119,2023-06-06,UW Seattle,98195,WA,Undergraduate,Off-Campus,Pell Grant,None,14.77
V-1120,2023-07-25,Georgia Tech,30332,GA,Undergraduate,Off-Campus,None,None,15.78
V-1121,2022-06-22,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Scholarship,None,14.68
V-1122,2022-08-10,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Pell Grant,Partial,14.75
V-1123,2020-10-21,Ohio State,43210,OH,Undergraduate,On-Campus,Scholarship,None,9.22
V-1124,2022-11-26,Rutgers,08901,NJ,Graduate,Off-Campus,Pell Grant,Full,13.17
V-1125,2023-04-09,Michigan State,48824,MI,Undergraduate,On-Campus,Pell Grant,None,16.05
V-1126,2020-09-28,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Pell Grant,None,9.02
V-1127,2023-01-27,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Scholarship,None,13.12
V-1128,2023-10-01,UW Seattle,98195,WA,Undergraduate,Off-Campus,Pell Grant,None,17.2
V-1129,2021-03-29,Georgia Tech,30332,GA,Undergraduate,On-Campus,Pell Grant,Partial,7.91
V-1130,2020-12-19,Michigan State,48824,MI,Undergraduate,Off-Campus,None,None,22.33
V-1131,2023-05-25,Georgia Tech,30332,GA,Undergraduate,On-Campus,Pell Grant,None,22.09
V-1132,2023-08-17,Michigan State,48824,MI,Undergraduate,Off-Campus,Pell Grant,Partial,14.96
V-1133,2022-06-01,UW Seattle,98195,WA,Undergraduate,On-Campus,Scholarship,Full,15.7
V-1134,2023-10-28,Texas A&M,77843,TX,Undergraduate,Off-Campus,None,Partial,13.28
V-1135,2021-03-11,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Pell Grant,Partial,6.28
V-1136,2020-09-04,Georgia Tech,30332,GA,Undergraduate,On-Campus,Scholarship,None,9.45
V-1137,2021-10-08,UC Irvine,92697,CA,Undergraduate,On-Campus,None,None,20.06
V-1138,2021-09-06,UF Gainesville,32611,FL,Undergraduate,On-Campus,None,None,14.62
V-1139,2023-08-06,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,None,8.43
V-1140,2023-06-16,Rutgers,08901,NJ,Undergraduate,Off-Campus,Pell Grant,None,16.28
V-1141,2023-04-30,Michigan State,48824,MI,Undergraduate,Off-Campus,Scholarship,Partial,21.27
V-1142,2022-10-03,Texas A&M,77843,TX,Undergraduate,On-Campus,Pell Grant,Partial,11.28
V-1143,2023-09-18,Rutgers,08901,NJ,Undergraduate,Off-Campus,Scholarship,Partial,9.85
V-1144,2020-07-05,Georgia Tech,30332,GA,Undergraduate,On-Campus,Scholarship,Partial,11.46
V-1145,2021-04-30,Rutgers,08901,NJ,Undergraduate,Off-Campus,None,None,20.55
V-1146,2022-12-25,Texas A&M,77843,TX,Undergraduate,Off-Campus,None,Full,9.21
V-1147,2022-10-20,UMass Amherst,01003,MA,Undergraduate,Off-Campus,None,None,13.82
V-1148,2022-09-07,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Pell Grant,None,20.32
V-1149,2020-11-26,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Pell Grant,None,18.02
V-1150,2022-08-08,Rutgers,08901,NJ,Graduate,On-Campus,Scholarship,None,20.32
V-1151,2024-01-11,Rutgers,08901,NJ,Graduate,Off-Campus,Scholarship,None,30.62
V-1152,2023-06-14,Rutgers,08901,NJ,Undergraduate,On-Campus,None,None,13.95
V-1153,2023-04-04,UMass Amherst,01003,MA,Undergraduate,On-Campus,Pell Grant,None,14.85
V-1154,2024-05-27,Michigan State,48824,MI,Undergraduate,Off-Campus,Pell Grant,Partial,7.93
V-1155,2023-05-31,Texas A&M,77843,TX,Graduate,Off-Campus,Pell Grant,Partial,25.85
V-1156,2022-11-17,UW Seattle,98195,WA,Undergraduate,On-Campus,Scholarship,Partial,17.05
V-1157,2022-08-23,Arizona State,85281,AZ,Graduate,Off-Campus,None,Full,20.4
V-1158,2024-07-14,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Scholarship,Partial,13.68
V-1159,2022-05-27,Georgia Tech,30332,GA,Graduate,Off-Campus,Scholarship,None,20.75
V-1160,2023-12-27,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Pell Grant,Full,12.7
V-1161,2023-07-20,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,Full,13.42
V-1162,2023-05-17,UF Gainesville,32611,FL,Undergraduate,Off-Campus,None,None,16.15
V-1163,2023-11-07,Texas A&M,77843,TX,Undergraduate,Off-Campus,None,None,17.41
V-1164,2022-04-05,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Scholarship,None,16.02
V-1165,2023-11-10,Rutgers,08901,NJ,Undergraduate,Off-Campus,None,None,12.25
V-1166,2024-10-23,Arizona State,85281,AZ,Undergraduate,Off-Campus,None,Partial,8.7
V-1167,2023-10-08,UMass Amherst,01003,MA,Graduate,Off-Campus,Pell Grant,None,16.13
V-1168,2022-06-26,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Pell Grant,None,20.2
V-1169,2023-09-15,Georgia Tech,30332,GA,Undergraduate,Off-Campus,None,None,13.21
V-1170,2021-05-13,Arizona State,85281,AZ,Undergraduate,On-Campus,None,Full,13.14
V-1171,2023-12-04,Arizona State,85281,AZ,Graduate,Off-Campus,Pell Grant,None,24.86
V-1172,2022-05-28,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Scholarship,None,12.97
V-1173,2020-06-10,Michigan State,48824,MI,Undergraduate,Off-Campus,Pell Grant,None,15.77
V-1174,2024-03-24,Texas A&M,77843,TX,Undergraduate,Off-Campus,Pell Grant,Partial,14.3
V-1175,2024-06-17,UMass Amherst,01003,MA,Graduate,Off-Campus,Pell Grant,None,19.12
V-1176,2024-06-18,UW Seattle,98195,WA,Undergraduate,Off-Campus,Pell Grant,None,23.22
V-1177,2022-11-06,UW Seattle,98195,WA,Graduate,On-Campus,Scholarship,None,24.54
V-1178,2022-04-21,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,Full,18.66
V-1179,2023-09-12,Michigan State,48824,MI,Undergraduate,Off-Campus,Pell Grant,None,10.17
V-1180,2023-10-24,UC Irvine,92697,CA,Undergraduate,On-Campus,Pell Grant,Partial,12.25
V-1181,2023-02-25,Rutgers,08901,NJ,Undergraduate,Off-Campus,Scholarship,Partial,14.49
V-1182,2022-10-29,Arizona State,85281,AZ,Undergraduate,Off-Campus,Scholarship,None,13.03
V-1183,2021-06-15,Georgia Tech,30332,GA,Graduate,Off-Campus,Pell Grant,None,22.38
V-1184,2021-08-10,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Pell Grant,Partial,15.74
V-1185,2021-05-09,Ohio State,43210,OH,Undergraduate,Off-Campus,Pell Grant,None,18.51
V-1186,2021-03-26,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Scholarship,Partial,11.25
V-1187,2023-11-28,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,Partial,15.94
V-1188,2023-07-29,UC Irvine,92697,CA,Undergraduate,Off-Campus,Pell Grant,Partial,19.48
V-1189,2024-06-11,UC Irvine,92697,CA,Graduate,Off-Campus,None,None,19.65
V-1190,2024-10-02,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,None,13.15
V-1191,2021-03-24,Texas A&M,77843,TX,Undergraduate,Off-Campus,None,None,18.42
V-1192,2023-10-08,Georgia Tech,30332,GA,Graduate,On-Campus,Pell Grant,Partial,12.87
V-1193,2024-03-25,Ohio State,43210,OH,Undergraduate,Off-Campus,Scholarship,Partial,21.67
V-1194,2021-06-02,Ohio State,43210,OH,Undergraduate,Off-Campus,None,None,11.93
V-1195,2022-11-29,Georgia Tech,30332,GA,Graduate,Off-Campus,Pell Grant,None,20.31
V-1196,2021-01-03,Georgia Tech,30332,GA,Graduate,Off-Campus,Scholarship,None,23.89
V-1197,2023-04-01,Arizona State,85281,AZ,Undergraduate,Off-Campus,None,Partial,17.68
V-1198,2024-07-17,UC Irvine,92697,CA,Undergraduate,On-Campus,Scholarship,Partial,9.85
V-1199,2024-01-28,UMass Amherst,01003,MA,Undergraduate,Off-Campus,None,None,11.88
V-1200,2022-01-04,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Pell Grant,None,13.89
V-1201,2024-11-06,Rutgers,08901,NJ,Graduate,On-Campus,Scholarship,None,25.82
V-1202,2021-02-26,UMass Amherst,01003,MA,Undergraduate,Off-Campus,Scholarship,Full,14.82
V-1203,2023-01-28,Georgia Tech,30332,GA,Undergraduate,On-Campus,Scholarship,None,14.68
V-1204,2023-05-17,Ohio State,43210,OH,Undergraduate,Off-Campus,None,None,12.97
V-1205,2023-05-15,Texas A&M,77843,TX,Undergraduate,Off-Campus,Pell Grant,None,22.14
V-1206,2023-04-02,UMass Amherst,01003,MA,Graduate,On-Campus,Pell Grant,None,20.16
V-1207,2023-05-08,Ohio State,43210,OH,Graduate,On-Campus,Pell Grant,None,24.59
V-1208,2022-03-29,Ohio State,43210,OH,Graduate,On-Campus,Pell Grant,None,19.16
V-1209,2022-07-12,Georgia Tech,30332,GA,Graduate,On-Campus,Scholarship,None,14.6
V-1210,2023-04-01,UC Irvine,92697,CA,Undergraduate,Off-Campus,Scholarship,Partial,6.95
V-1211,2023-11-19,Michigan State,48824,MI,Graduate,Off-Campus,Pell Grant,None,22.56
V-1212,2023-07-09,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Scholarship,None,17.78
V-1213,2022-10-01,Texas A&M,77843,TX,Undergraduate,Off-Campus,Pell Grant,None,20.11
V-1214,2024-05-12,UC Irvine,92697,CA,Undergraduate,On-Campus,Pell Grant,None,15.2
V-1215,2023-11-15,UC Irvine,92697,CA,Undergraduate,On-Campus,Scholarship,None,13.97
V-1216,2024-10-08,Michigan State,48824,MI,Undergraduate,Off-Campus,None,None,17.0
V-1217,2022-08-16,UW Seattle,98195,WA,Graduate,On-Campus,Pell Grant,None,15.71
V-1218,2024-08-07,UW Seattle,98195,WA,Graduate,Off-Campus,Pell Grant,Full,22.78
V-1219,2022-11-29,Arizona State,85281,AZ,Undergraduate,Off-Campus,Scholarship,None,15.44
V-1220,2022-09-27,Michigan State,48824,MI,Undergraduate,Off-Campus,Scholarship,Partial,13.76
V-1221,2024-01-22,Rutgers,08901,NJ,Undergraduate,Off-Campus,Pell Grant,None,15.03
V-1222,2023-11-18,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Pell Grant,None,21.17
V-1223,2024-06-05,UW Seattle,98195,WA,Undergraduate,Off-Campus,Scholarship,None,16.79
V-1224,2024-01-02,Ohio State,43210,OH,Undergraduate,Off-Campus,Pell Grant,None,13.95
V-1225,2021-07-12,Ohio State,43210,OH,Graduate,Off-Campus,Pell Grant,Partial,12.83
V-1226,2024-06-26,Michigan State,48824,MI,Undergraduate,On-Campus,Scholarship,None,10.12
V-1227,2023-06-27,Ohio State,43210,OH,Undergraduate,Off-Campus,Pell Grant,None,16.93
V-1228,2023-05-06,Ohio State,43210,OH,Graduate,Off-Campus,Pell Grant,None,17.36
V-1229,2023-06-27,Arizona State,85281,AZ,Undergraduate,Off-Campus,None,None,13.57
V-1230,2023-01-25,Ohio State,43210,OH,Undergraduate,On-Campus,Pell Grant,Partial,14.91
V-1231,2024-01-05,Michigan State,48824,MI,Undergraduate,Off-Campus,Pell Grant,Partial,21.42
V-1232,2023-02-28,UF Gainesville,32611,FL,Graduate,Off-Campus,None,None,24.64
V-1233,2022-09-13,Rutgers,08901,NJ,Undergraduate,Off-Campus,Pell Grant,None,14.83
V-1234,2021-07-22,UMass Amherst,01003,MA,Graduate,On-Campus,Pell Grant,None,25.2
V-1235,2021-12-17,Ohio State,43210,OH,Undergraduate,On-Campus,None,None,17.08
V-1236,2021-07-27,Texas A&M,77843,TX,Undergraduate,Off-Campus,None,Full,6.33
V-1237,2022-10-24,Arizona State,85281,AZ,Undergraduate,Off-Campus,Pell Grant,Partial,20.03
V-1238,2024-03-22,Rutgers,08901,NJ,Undergraduate,Off-Campus,None,Partial,16.18
V-1239,2023-10-15,UC Irvine,92697,CA,Undergraduate,Off-Campus,Pell Grant,None,6.35
V-1240,2022-09-05,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Scholarship,None,18.07
V-1241,2024-06-16,Michigan State,48824,MI,Undergraduate,On-Campus,Pell Grant,None,16.89
V-1242,2021-08-18,UC Irvine,92697,CA,Undergraduate,On-Campus,None,Full,13.25
V-1243,2022-02-28,UF Gainesville,32611,FL,Undergraduate,Off-Campus,None,Partial,16.91
V-1244,2022-11-18,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Scholarship,Partial,14.28
V-1245,2022-06-09,UW Seattle,98195,WA,Undergraduate,Off-Campus,Pell Grant,Partial,15.56
V-1246,2023-05-21,UC Irvine,92697,CA,Undergraduate,Off-Campus,Pell Grant,Full,14.22
V-1247,2021-07-11,Arizona State,85281,AZ,Undergraduate,Off-Campus,None,None,12.92
V-1248,2021-07-09,UC Irvine,92697,CA,Undergraduate,Off-Campus,Scholarship,None,8.81
V-1249,2022-07-02,Ohio State,43210,OH,Undergraduate,On-Campus,None,Partial,15.95
V-1250,2024-03-10,UW Seattle,98195,WA,Undergraduate,On-Campus,None,None,23.57
V-1251,2021-10-06,Texas A&M,77843,TX,Undergraduate,On-Campus,Pell Grant,None,12.13
V-1252,2021-11-12,Ohio State,43210,OH,Undergraduate,Off-Campus,None,None,10.23
V-1253,2021-04-07,Michigan State,48824,MI,Undergraduate,On-Campus,Scholarship,None,10.78
V-1254,2021-06-23,Michigan State,48824,MI,Undergraduate,On-Campus,None,None,7.45
V-1255,2022-07-26,Rutgers,08901,NJ,Undergraduate,Off-Campus,None,None,13.29
V-1256,2023-01-07,Rutgers,08901,NJ,Undergraduate,Off-Campus,None,Partial,14.01
V-1257,2023-11-02,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Pell Grant,Partial,15.24
V-1258,2023-05-16,UW Seattle,98195,WA,Undergraduate,On-Campus,Pell Grant,Full,18.1
V-1259,2023-09-08,UMass Amherst,01003,MA,Undergraduate,On-Campus,None,None,12.47
V-1260,2021-10-29,UW Seattle,98195,WA,Undergraduate,Off-Campus,Pell Grant,None,11.27
V-1261,2022-12-17,UC Irvine,92697,CA,Undergraduate,Off-Campus,None,None,9.46
V-1262,2023-05-06,Georgia Tech,30332,GA,Graduate,Off-Campus,None,None,18.17
V-1263,2023-09-07,Ohio State,43210,OH,Undergraduate,Off-Campus,Scholarship,None,6.18
V-1264,2020-10-24,Georgia Tech,30332,GA,Undergraduate,Off-Campus,Pell Grant,None,16.06
V-1265,2024-03-07,UMass Amherst,01003,MA,Undergraduate,Off-Campus,None,None,11.4
V-1266,2023-01-16,Ohio State,43210,OH,Undergraduate,On-Campus,Scholarship,None,10.55
V-1267,2022-11-05,Rutgers,08901,NJ,Undergraduate,Off-Campus,Pell Grant,None,14.6
V-1268,2023-02-07,Ohio State,43210,OH,Undergraduate,Off-Campus,Pell Grant,None,11.24
V-1269,2022-08-12,Michigan State,48824,MI,Graduate,Off-Campus,Pell Grant,None,16.47
V-1270,2020-08-08,UW Seattle,98195,WA,Undergraduate,On-Campus,Pell Grant,None,8.24
V-1271,2022-06-08,UMass Amherst,01003,MA,Undergraduate,On-Campus,Scholarship,None,11.33
V-1272,2021-06-21,UF Gainesville,32611,FL,Undergraduate,Off-Campus,Scholarship,Partial,14.05
V-1273,2023-07-04,UW Seattle,98195,WA,Undergraduate,Off-Campus,None,None,18.45
V-1274,2023-10-21,Ohio State,43210,OH,Undergraduate,Off-Campus,Pell Grant,None,11.55
